B010-P005-V5 | bottom | pantalone in gabardina cotone e lino tinto capo | fine knit | solid | 2 | 2 | flat packshot | yes | aspesi.com | ASPESI | PANTALONE IN GABARDINA COTONE E LINO TINTO CAPO | NAVY | NONE | €325,00 | split out of B010-P005-V4 by the name on its page; slot guessed from the page's name "PANTALONE IN GABARDINA COTONE E LINO TINTO CAPO"
B011-P005-V2 | layer | cappotto teena in nylon | crisp technical taffeta | solid | 3 | 3 | flat packshot | yes | aspesi.com | ASPESI | CAPPOTTO TEENA IN NYLON | NAVY | NONE | €490,00 | split out of B011-P005 by the name on its page; slot guessed from the page's name "CAPPOTTO TEENA IN NYLON"
B012-P003-V3 | bottom | gonna sfoderata in poliestere tecnico | poplin | solid | 1 | 2 | flat packshot | yes | aspesi.com | ASPESI | GONNA SFODERATA IN POLIESTERE TECNICO | NERO | NONE | €295,00 | split out of B012-P003 by the name on its page; slot guessed from the page's name "GONNA SFODERATA IN POLIESTERE TECNICO"
B013-P001-V4 | layer | giacca monopetto in crepe cady | gabardine twill | solid | 3 | 3 | flat packshot | yes | aspesi.com | ASPESI | GIACCA MONOPETTO IN CREPE CADY | NERO | NONE | €730,00 | split out of B013-P001 by the name on its page; slot guessed from the page's name "GIACCA MONOPETTO IN CREPE CADY"
B015-P001-V2 | layer | giaccone caban in lana vergine cotta | taffeta-look technical woven | solid | 2 | 3 | flat packshot | yes | aspesi.com | ASPESI | GIACCONE CABAN IN LANA VERGINE COTTA | BLU NAVY | NONE | €690,00 | split out of B015-P001 by the name on its page; slot guessed from the page's name "GIACCONE CABAN IN LANA VERGINE COTTA"
B015-P001-V3 | bottom | gonna lunga plisse in modal con motivo check | taffeta-look technical woven | solid | 2 | 3 | flat packshot | yes | aspesi.com | ASPESI | GONNA LUNGA PLISSE IN MODAL CON MOTIVO CHECK | NONE | NONE | €850,00 | split out of B015-P001 by the name on its page; slot guessed from the page's name "GONNA LUNGA PLISSE IN MODAL CON MOTIVO CHECK"
B017-P001-V4 | top | maglia girocollo in lana merino | fine knit | solid | 2 | 2 | flat packshot | yes | aspesi.com | ASPESI | MAGLIA GIROCOLLO IN LANA MERINO | MARRONE | NONE | €180,00 | split out of B017-P001 by the name on its page; slot guessed from the page's name "MAGLIA GIROCOLLO IN LANA MERINO"
B018-P001-V4 | layer | giacca in velluto a coste | ribbed fine knit | solid | 2 | 3 | flat packshot | yes | aspesi.com | ASPESI | GIACCA IN VELLUTO A COSTE | NAVY | NONE | €530,00 | split out of B018-P001 by the name on its page; slot guessed from the page's name "GIACCA IN VELLUTO A COSTE"
B019-P001-V2 | bottom | pantalone in flanella | matte crepe | solid | 2 | 3 | flat packshot | yes | aspesi.com | ASPESI | PANTALONE IN FLANELLA | NONE | NONE | €390,00 | split out of B019-P001 by the name on its page; slot guessed from the page's name "PANTALONE IN FLANELLA"
B021-P001-V3 | accessory | printed square bandana scarf | fine printed woven | print | 1 | 2 | flat packshot | yes | massimoalba.com | massimo alba | BANDANA Cashmere And Silk Bandana | Chicory Coffee | NONE | €210 | split out of B021-P001 by the name on its page; slot guessed from the page's name "BANDANA Cashmere And Silk Bandana"
B021-P011-V4 | top | leontine ® cotton shirt | smooth twill | solid | 2 | 2 | on model | yes | massimoalba.com | massimo alba | LEONTINE ® Cotton Shirt | NONE | NONE | €325 | split out of B021-P011 by the name on its page; slot guessed from the page's name "LEONTINE ® Cotton Shirt"
